name,seller,price,number-of-items-sold,ram,rom,screen-size,color,front-camera,rear-camera,number_of_sims
iPhone X 256Go HDD - 3Go RAM - 12MP - Argent - 12 Mois + Pochette + Protège Ecran Offerts,Apple,979900.0,10001.0,3.0,8.0,6.0,gris,8.0,13.0,1
ZTE A110 - 8 Go - 1 Go RAM - 4'' - Noir,ZTE,25000.0,1001.0,6.0,64.0,6.0,noir,5.0,16.0,1
"Camon 11 Pro - Dual SIM - 64Go HDD - 6Go RAM - 6,2"" - Noir",Tecno,164000.0,99.0,3.0,128.0,6.0,noir,8.0,13.0,2
iPhone XR - 128 Go HDD - 3 Go RAM - Rouge,Apple,520000.0,49.0,1.0,64.0,6.1,rouge,13.0,21.0,1
iPhone X 64Go HDD - 3Go RAM - 12MP - Gris,Apple,579500.0,10001.0,1.0,64.0,5.8,gris,8.0,13.0,1
"Galaxy S9 Plus - 64Go HDD - 6Go RAM - 6,2"" - Noir - 12 Mois",Samsung,396000.0,101.0,3.0,32.0,6.2,noir,0.0,8.0,1
Galaxy J6 Plus Dual SIM - 32Go HDD - 3Go RAM - 13+5MP - Rouge - 12 Mois + Pochette Et Protège Ecran Offerts,Samsung,104900.0,49.0,8.0,16.0,4.0,rouge,5.0,13.0,2
Vente Flash - Galaxy S7 Edge 32Go HDD - 4Go RAM - Or + Pochette,Samsung,159000.0,101.0,3.0,16.0,5.1,or,1.2,8.0,1
Spark 3 Dual SIM - 16Go HDD - 1Go RAM - Noir - 12 Mois,Tecno,75900.0,10001.0,6.0,32.0,6.2,noir,5.0,8.0,2
Galaxy J4 Core Dual SIM 16Go HDD - 1Go RAM - Noir,Samsung,72500.0,101.0,1.0,128.0,5.8,noir,5.0,5.0,2
Galaxy M10 Dual SIM - 32Go HDD - 3Go RAM - 13+5MP - Bleu - 12 Mois de Garantie,Samsung,114000.0,10001.0,3.0,64.0,5.8,bleu,8.0,12.0,2
"Galaxy S10 - 128Go HDD - 8Go RAM - 6,1"" - Blanc",Samsung,560000.0,49.0,2.0,256.0,6.2,blanc,8.0,12.0,1
iPhone X 64Go HDD - 3Go RAM - 12MP - Argent - 12 Mois + Pochette + Protège Ecran Offerts,Apple,494900.0,10001.0,4.0,32.0,5.1,argent,7.0,12.0,1
Galaxy S9 Plus SM-G965 - 256Go HDD - Noir - 12 mois,Samsung,415000.0,49.0,4.0,32.0,5.6,noir,5.0,16.0,1
iPhone 5 32Go HDD - Blanc - 12 Mois + Pochette + Protège Ecran  Offerts,Apple,79900.0,10001.0,3.0,32.0,5.0,blanc,8.0,12.0,1
Galaxy S6 - 32Go HDD - RAM 3Go - Blanc - 12 Mois,Samsung,135000.0,101.0,2.0,64.0,6.2,blanc,5.0,5.0,1
Galaxy A10 Dual Sim - 32Go HDD - 2Go RAM - 13MP - Noir - 24 Mois de Garantie,Samsung,99900.0,10001.0,3.0,64.0,3.5,noir,8.0,12.0,2
Galaxy S8 64Go HDD- 4Go RAM- 5.8' - Noir + Pochette,Samsung,220000.0,49.0,3.0,64.0,6.0,noir,5.0,12.0,1
Redmi 6 Pro - Dual SIM - 64Go HDD - 4Go RAM - 12+5MP - Or + Pochette Offert - 12 Mois de Garantie,Xiaomi,114900.0,49.0,3.0,32.0,6.0,noir et or,8.0,13.0,2
"iPhone X - 64 Go HDD - 3 Go RAM - 5,8"" - Noir - 12 Mois",Apple,500000.0,10001.0,2.0,32.0,5.5,noir,5.0,12.0,1
"Hot 7 Pro Dual Sim - 6,2"" - 32 Go HDD - 2 Go RAM - Noir",Infinix,88900.0,10001.0,2.0,32.0,5.5,noir,16.0,12.0,2
Galaxy S6 Edge - 32Go HDD - RAM 3Go - Or - 12 Mois + Pochette + Protège Ecran Offerts,Samsung,124900.0,1001.0,3.0,32.0,5.0,or,7.0,12.0,1
Galaxy J6 Dual SIM - 32Go HDD - 3Go RAM - 13MP - Bleu - 12 Mois + Pochette + Protège Ecran Offerts,Samsung,99900.0,49.0,1.0,32.0,6.2,bleu,0.3,2.0,2
Kodak Ektra - 32 Go HDD - 3 Go Ram - Noir,KODAK,49900.0,101.0,6.0,16.0,6.2,noir,5.0,13.0,1
"Hot 7 Pro Dual Sim - 6,2"" - 32 Go HDD - 2 Go RAM - Voilet",Infinix,89000.0,10001.0,1.0,32.0,4.7,voilet,8.0,13.0,2
"iPhone 4S - 16Go HDD - 512Mo RAM - 3,5"" - Noir - 12 Mois + Pochette + Protège Ecran",Apple,43000.0,101.0,4.0,32.0,5.7,noir,1.2,8.0,1
Samsung Galaxy J4 Plus Dual SIM - 32Go HDD - 2Go RAM - 13MP - Noir - 12 Mois + Pochette + Protège Ecran Offerts,Samsung,89900.0,10001.0,1.0,64.0,5.8,noir,8.0,13.0,2
Galaxy J6 Plus Dual SIM 2018 - 32 Go HDD - 3 Go RAM - 6'' - Rouge,Samsung,106200.0,10001.0,4.0,128.0,5.5,rouge,5.0,8.0,2
iPhone 6 Plus - 64Go HDD - Or - 12 Mois + Pochette + Protège Ecran Offerts,Apple,174900.0,101.0,6.0,16.0,6.0,or,8.0,16.0,1
Mi 8 Lite Dual SIM 128Go HDD - 6Go RAM - Noir + Pochette Offert - 12 Mois de Garantie,Xiaomi,189900.0,10001.0,2.0,128.0,6.2,noir,5.0,16.0,2
"OK-Smart18 - Dual SIM - 16Go HDD - 1 Go RAM - 5,5"" - Or - 12 Mois",Oking,36900.0,1001.0,1.0,16.0,5.5,or,5.0,16.0,2
Redmi Note 7 Dual SIM 128Go HDD - 4Go RAM - 48+5MP - Noir + Pochette  Offert - 12 Mois de Garantie,Xiaomi,199900.0,10001.0,4.0,64.0,6.3,noir,5.0,13.0,2
V18 Pro Dual SIM 16Go HDD -RAM 1 Go -Gris - 12 Mois,X-tigi,36450.0,99.0,4.0,64.0,6.4,gris,8.0,13.0,2
"Galaxy S8 Plus - 64Go HDD - 4Go RAM - 6,2"" - Or - 12 Mois + Pochette + Protège Ecran Offerts",Samsung,249900.0,49.0,6.0,128.0,6.0,or,16.0,16.0,1
"Galaxy S8 Plus - 64 Go HDD - 6 Go RAM - 6,2'' - Or",Samsung,255000.0,101.0,1.0,4.0,5.5,or,5.0,12.0,1
"iPhone 7 - 128Go HDD - 2Go RAM - 4,7"" - Rouge - 6 Mois",Apple,240000.0,49.0,2.0,64.0,4.5,rouge,5.0,8.0,1
Galaxy S6 Edge 32 Go HDD - Noir + Pochette Et Ecran de Protection - 12 Mois,Samsung,117000.0,101.0,6.0,32.0,5.0,noir,8.0,13.0,1
Galaxy S8 Plus 64Go HDD - Or - 12 Mois,Samsung,249000.0,99.0,4.0,128.0,6.2,or,13.0,8.0,1
OK-LX6 Dual SIM - 4Go - 1Go RAM - Rose - 12 Mois,Oking,28900.0,49.0,3.0,16.0,6.2,rose,5.0,16.0,2
Galaxy S8 64Go HDD - Noir,Samsung,235000.0,10001.0,3.0,128.0,6.2,noir,0.0,5.0,1
Galaxy S7 Edge 32Go HDD - Or,Samsung,170000.0,1001.0,4.0,128.0,2.0,or,5.0,13.0,1
Mi A2 Dual SIM - 128Go HDD - 6Go RAM - 20+12MP - Blanc Et Or + Pochette + Protège Ecran Offerts - 12 Mois,Xiaomi,179900.0,9.0,1.0,128.0,4.0,blanc et or,13.0,20.0,2
"Hot 7 Dual SIM - 6,2"" - 16 Go HDD - 1 Go RAM - Noir",Infinix,61500.0,101.0,1.0,32.0,6.0,noir,0.0,8.0,2
"iPhone 6s Plus - 128Go - 2Go RAM - 5,5"" - Gris - 6 Mois",Apple,242650.0,101.0,3.0,64.0,5.7,gris,13.0,8.0,1
"Galaxy A9 2018 Dual SIM - 128Go HDD - 6Go RAM - 6.3"" - Bleu",Samsung,235000.0,1001.0,6.0,64.0,6.0,bleu,13.0,20.0,2
Galaxy A50 - 128Go HDD - RAM 4Go - DUAL SIM - Noir - 6 Mois,Samsung,211500.0,49.0,1.0,16.0,5.0,noir,8.0,13.0,2
Note 5 Dual SIM 32 Go HDD - Bleu,Infinix,119000.0,10001.0,2.0,16.0,6.2,bleu,2.0,16.0,2
iPhone 8 Plus 64Go HDD - Noir,Apple,650000.0,101.0,4.0,32.0,6.0,noir,20.0,16.0,1
Redmi 6 Pro Dual SIM - 64Go HDD - 4Go RAM - 12+5MP - Noir + Pochette Offert - 12 Mois de Garantie,Xiaomi,119900.0,10001.0,4.0,64.0,4.0,noir,5.0,12.0,2
"Moto G 16 Go HDD - 1Go Ram - 4,5'' - Noir",MOTOROLA,35000.0,99.0,3.0,16.0,6.2,noir,5.0,5.0,1
E2C Dual SIM - 16Go HDD - Or - 12 Mois de Garantie,COOLPAD,39900.0,101.0,2.0,16.0,6.0,or,0.0,8.0,2
Camon 11 Dual SIM - 32 Go HDD - Noir - 12 Mois,Tecno,105000.0,101.0,2.0,8.0,4.7,noir,5.0,5.0,2
"Camon 11 Pro - Dual SIM - 64Go HDD - 6Go RAM - 6,2"" - Noir - 12 Mois",Tecno,163000.0,10001.0,1.0,64.0,5.9,noir,0.0,8.0,2
Spark 3 Dual SIM - 16Go HDD - 1Go RAM - Noir - 12 Mois,Tecno,71800.0,101.0,3.0,32.0,6.3,noir,5.0,8.0,2
E561 Dual SIM - 16Go HDD - 2Go RAM - Marron + Pochette Offert - 12 Mois de Garantie,COOLPAD,42900.0,10001.0,4.0,32.0,5.6,marron,16.0,20.0,2
A11 Dual SIM 8Go HDD - 512 Mo - Or - 13 Mois,ITEL,24500.0,10001.0,6.0,16.0,5.0,or,16.0,16.0,2
"Redmi 5 Plus - Dual SIM - 64Go HDD - 4Go RAM - 6"" - Noir + Pochette Offert - 12 Mois de Garantie",Xiaomi,104900.0,10001.0,1.0,16.0,5.5,noir,5.0,16.0,2
G6 32Go HDD - 4Go RAM - Or - 12 Mois + Pochette + Protège Ecran  Offerts,LG,119900.0,99.0,4.0,16.0,5.0,or,2.0,5.0,1
K5 Play Dual SIM - 32Go HDD - 3Go RAM - 13+2MP - Bleu - 12 Mois + Pochette Offert,Lenovo,74900.0,1001.0,6.0,32.0,5.7,noir,5.0,5.0,2
Hot 6X Dual SIM 16Go HDD - Noir,Infinix,83500.0,101.0,3.0,64.0,6.2,noir,5.0,13.0,2
Blade V7 Lite Dual SIM 16Go HDD - 2 Go Ram - Gris  - 12 Mois,ZTE,48800.0,10001.0,1.0,64.0,5.6,gris,5.0,12.0,2
iPhone 6 Plus - 16Go HDD - Blanc Et Or,Apple,162350.0,1001.0,4.0,8.0,6.0,blanc et or,8.0,12.0,1
Camon 11 Dual SIM 32 Go HDD - Blue - 12 Mois,Tecno,114000.0,1001.0,6.0,64.0,6.4,bleu,2.0,3.0,2
Redmi Note 5 Dual SIM 64Go HDD - 4Go RAM - 12+5MP - Noir + Pochette Offert - 12 Mois de Garantie,Xiaomi,124900.0,10001.0,3.0,64.0,5.3,noir,5.0,16.0,2
Lenovo S5 Pro Double Puce 64Go HDD - 6Go RAM - 12+20MP - Noir + Pochette Offert - 12 Mois,Lenovo,158500.0,99.0,1.0,32.0,5.0,noir,8.0,12.0,2
U3 Dual SIM 8Go HDD - Blanc - 12 Mois + Forfait Internet Offert,Alcatel,31900.0,1001.0,4.0,8.0,6.0,blanc,0.0,8.0,2
Redmi Note 6 Pro Dual SIM - 64Go HDD - 4Go RAM - 12MP+5MP - Noir + Pochette Offert - 12 Mois de Garantie,Xiaomi,144900.0,101.0,1.0,64.0,5.5,noir,5.0,12.0,2
Camon 11 Pro Dual SIM 64 Go HDD - Noir - 12 Mois,Tecno,164000.0,10001.0,4.0,64.0,5.7,noir,5.0,16.0,2
Galaxy J6 Plus Dual SIM - 32Go HDD - 3Go RAM - 13+5MP - Noir - 12 Mois,Samsung,115000.0,99.0,2.0,32.0,4.3,noir,5.0,5.0,2
Microsoft Lumia 550 - Reconditionné sans carton d'origine - 8Go HDD - 1RAM - Noir,Nokia,43600.0,10001.0,6.0,8.0,5.2,noir,5.0,13.0,1
"Redmi Note 5 Dual SIM - 64Go HDD - 4Go RAM - 5,99"" - Or + Pochette Offert - 12 Mois de Garantie",Xiaomi,114900.0,10001.0,4.0,64.0,6.2,or,5.0,8.0,2
"Galaxy Note 8 - 64 Go HDD - 6 Go RAM - 6,3'' - Noir",Samsung,275000.0,101.0,4.0,16.0,5.3,noir,5.0,12.0,1
Galaxy J6 Dual SIM - 32Go HDD - 3Go RAM - 13MP - Or - 12 Mois + Pochette + Protège Ecran Offerts,Samsung,99900.0,1001.0,4.0,32.0,5.0,or,5.0,8.0,2
"Redmi Go Dual SIM - 8Go HDD - 1Go RAM - 5"" + Protége écran Offert - Bleu",Xiaomi,42000.0,101.0,3.0,32.0,5.5,bleu,2.0,5.0,2
A32F 8Go HDD - Noir,ITEL,42900.0,101.0,1.0,64.0,5.0,noir,8.0,12.0,1
Nokia 8 Dual SIM 64Go HDD - Bleu,Nokia,215000.0,10001.0,1.0,64.0,6.0,bleu,8.0,13.0,2
"Galaxy S6 - 32Go HDD - 3Go RAM - 5,1"" - Or",Samsung,100000.0,10001.0,3.0,64.0,5.5,or,2.0,5.0,1
Galaxy S6  32 Go HDD - Noir + Ecran de Protection et Pochette - 12 Mois,Samsung,99000.0,99.0,1.0,64.0,6.2,noir,2.0,5.0,1
E2C Dual SIM - 16Go HDD - Gris - 12 Mois de Garantie,COOLPAD,39900.0,10001.0,4.0,32.0,5.1,gris,2.0,5.0,2
"G6 - 32Go HDD - 4Go RAM - 5,7"" - Noir - 12 Mois + Pochette + Protège Ecran",LG,119900.0,9.0,0.512,16.0,6.0,noir,2.0,5.0,1
"Hot 7 Pro Dual Sim - 6,2"" - 32 Go HDD - 2 Go RAM - Voilet",Infinix,88200.0,99.0,2.0,8.0,6.2,voilet,2.0,5.0,2
S5 Pro Dual Sim - 64Go HDD - 6Go RAM - 20+12MP - Noir - 12 Mois,Lenovo,149000.0,10001.0,1.0,16.0,5.5,noir,5.0,12.0,2
Galaxy A6 Dual SIM 64Go HDD - Or,Samsung,217000.0,101.0,3.0,16.0,5.0,or,2.0,5.0,2
Note 5 Stylus Dual SIM 64 Go HDD - Or,Infinix,143500.0,101.0,1.0,32.0,3.5,or,2.0,5.0,2
Redmi Note 7 Dual SIM 64Go HDD - 4Go RAM - 48+5MP - Bleu + Pochette Offert - 12 Mois de Garantie,Xiaomi,189900.0,9.0,1.0,4.0,5.5,bleu,20.0,16.0,2
A32F 8Go HDD -Noir,ITEL,44700.0,99.0,1.0,16.0,3.5,noir,5.0,8.0,1
"Samsung Galaxy A20- 32Go HDD 3Go RAM - 6.4"" - Noir",Samsung,115900.0,1001.0,3.0,16.0,6.0,noir,2.0,5.0,1
Galaxy Note N7000 SIM Réconditionné - 16Go HDD - 1Go RAM - Blanc,Samsung,37500.0,9.0,3.0,32.0,5.0,blanc,5.0,13.0,1
Galaxy S7 - 32 Go HDD - Noir,Samsung,133500.0,1001.0,1.0,8.0,6.5,noir,5.0,16.0,1
Galaxy J2 Core Dual SIM - 8 Go HDD - 1 Go RAM - Noir,Samsung,54000.0,101.0,4.0,16.0,6.0,noir,5.0,8.0,2
"Pouvoir 2 - Dual SIM - 16Go HDD - 3Go RAM - 6"" - Or - 12 Mois",Tecno,90000.0,101.0,2.0,16.0,5.1,blue-champagne-noir,5.0,13.0,2
Smart 2 Dual SIM 16 Go HDD - 1Go RAM - Bleu - 12 Mois,Infinix,58600.0,1001.0,3.0,32.0,4.7,bleu,5.0,12.0,2
Galaxy Note 5 32 Go HDD 4 Go RAM - Or - Pochette - Protege Ecran- 12 Mois,Samsung,125000.0,99.0,1.0,32.0,5.0,or,5.0,12.0,1
Galaxy J1 Ace - 4Go HDD -  512 Mo - Blanc - 24 Mois,Samsung,49700.0,1001.0,4.0,16.0,4.0,blanc,2.0,8.0,1
A50 16Go HDD - Gris Et Noir,Alcatel,46000.0,1001.0,2.0,64.0,5.5,gris et noir,2.0,5.0,1
Spark 3 Dual SIM - 16Go HDD - 1Go RAM - Noir - 12 Mois,Tecno,72000.0,1001.0,1.0,16.0,5.4,noir,5.0,13.0,2
A1 Dual SIM 32Go HDD - Or,X-tigi,79000.0,1001.0,0.512,32.0,4.3,or,5.0,8.0,2
Lumia 640 - 8Go HDD - Noir - 6 Mois,Nokia,53800.0,99.0,1.0,16.0,6.0,noir,20.0,16.0,1
Smart 2 Dual SIM 16 Go HDD - 1Go RAM - Rouge - 12 Mois,Infinix,58600.0,1001.0,4.0,64.0,4.3,rouge,5.0,5.0,2
Energy 4S Dual SIM 16Go HDD - Gris - 6 Mois,PHICOMM,49000.0,49.0,1.0,64.0,5.1,gris,8.0,12.0,2
Hot 6X Dual SIM 32Go HDD -  3Go RAM - Noir,Infinix,101000.0,10001.0,4.0,16.0,5.5,noir,8.0,5.0,2
"One E9+ - 32 Go HDD - 3 GB RAM - 5,5'' - Gris",HTC,85500.0,101.0,4.0,16.0,6.2,gris,5.0,16.0,1
"Hot 7 - Dual Sim - 6,2"" - 16 Go HDD - 1 Go RAM - Noir",Infinix,75000.0,99.0,3.0,16.0,4.0,noir,8.0,13.0,2
Redmi Note 7 Dual SIM 32Go HDD - 3Go RAM - 48+5MP - Bleu + Pochette Offert - 12 Mois de Garantie,Xiaomi,159900.0,101.0,4.0,16.0,5.7,bleu,1.2,8.0,2
"Galaxy S5 - 16Go HDD - 2Go RAM - 5,1"" - Blanc - 12 Mois + Pochette + Protège Ecran Offerts",Samsung,69900.0,10001.0,1.0,64.0,3.5,blanc,1.2,8.0,1
"Camon X - Dual SIM - 32Go HDD - 3Go RAM - 6"" - Noir - 12 Mois",Tecno,107000.0,101.0,1.0,8.0,6.0,noir,5.0,16.0,2
Spark 3 Dual SIM - 16Go HDD - 1Go RAM - Bleu - 13 Mois,Tecno,75600.0,99.0,2.0,128.0,5.7,bleu,8.0,13.0,2
Mi A2 Dual SIM - 64Go HDD - 4Go RAM - 20+12MP - Noir + Pochette Offert - 12 Mois de Garantie,Xiaomi,139900.0,99.0,1.0,64.0,5.0,noir,5.0,12.0,2
"iPhone 6s+ - 64Go HDD - 2Go RAM - 5,5"" - Or",Apple,240000.0,99.0,1.0,32.0,5.7,or,5.0,8.0,1
V18 Pro - Dual SIM 16Go HDD - Or - 12 Mois,X-tigi,48000.0,101.0,0.512,64.0,5.7,or,1.2,8.0,2
iPhone 4S 16 Go HDD - Noir,Apple,55500.0,10001.0,4.0,4.0,5.5,noir,8.0,13.0,1
A5 Dual SIM - 1Go RAM - 16Go HDD - Noir - 12 Mois,Xtouch,68000.0,1001.0,3.0,16.0,5.5,noir,5.0,8.0,2
"iPhone 4S - 16Go HDD - 512Mo - 3,5"" - Blanc - 12 Mois + Pochette + Protège Ecran",Apple,43500.0,1001.0,4.0,4.0,5.0,blanc,5.0,16.0,1
Redmi S2 - Dual SIM - 64Go HDD - 4Go RAM - 12+5 MP - Gris + Pochette Offert - 12 Mois de Garantie,Xiaomi,114900.0,49.0,4.0,8.0,6.2,gris,2.0,5.0,2
"EGO NOTE 3G - Dual SIM - 8Go HDD - 1Go RAM - 5,5"" - Noir",TORQUE,37000.0,99.0,3.0,16.0,5.9,noir,2.0,5.0,2
Honor 8X -Dual Sim - 128Go HDD - 4Go RAM  - Phantom bleu - 06 Mois,Huawei,230000.0,10001.0,4.0,8.0,6.2,phantom bleu,1.3,8.0,2
Note 5 Stylus Dual SIM 64 Go HDD - Or  Et Noir,Infinix,160000.0,101.0,4.0,16.0,4.5,or et noir,0.0,8.0,2
Galaxy S6 32Go HDD - Noir,Samsung,112700.0,101.0,4.0,8.0,5.3,noir,8.0,13.0,1
Redmi Note 6 Pro Dual SIM - 64Go HDD - 4Go RAM - 12+5MP - Bleu + Pochette + Protège Ecran Offerts,Xiaomi,144900.0,101.0,1.0,32.0,6.2,bleu,2.0,16.0,2
OK-LS1 Dual SIM 4Go - 512Mo RAM - Rouge - 12 Mois,Oking,27000.0,49.0,4.0,32.0,5.0,rouge,8.0,13.0,2
V18 Pro Dual SIM 16Go HDD -RAM 1 Go -Gris - 12 Mois,X-tigi,35300.0,101.0,1.0,64.0,6.2,gris,2.0,8.0,2
