name,seller,price,number-of-items-sold,ram,rom,screen-size,color,front-camera,rear-camera,number_of_sims,date,os
Simi S503 Dual SIM - 5.5 pouces - 3G - 13MP/8MP - 16Go/2Go - Android 6.0 - Noir  - 12 Mois,SIMI,43900.0,99.0,1.0,16.0,6.1,noir,0.3,2.0,2,Sun May 26 21:18:59 2019,android
iPhone X 256Go HDD - Noir,Apple,650000.0,101.0,3.0,256.0,4.0,noir,7.0,12.0,1,Sun May 26 21:19:01 2019,ios
Redmi Note 7 Dual SIM 64Go HDD - 4Go RAM - 48+5MP - Noir + Pochette Offert - 12 Mois de Garantie,Xiaomi,184900.0,10001.0,1.0,64.0,5.8,noir,12.0,12.0,2,Sun May 26 21:19:03 2019,android
Spark 3 Dual SIM - 16Go HDD - 1Go RAM - Noir - 12 Mois,Tecno,71600.0,49.0,3.0,16.0,6.0,noir,2.0,18.0,2,Sun May 26 21:19:04 2019,android
iPhone X 256Go HDD - 3Go RAM - 12MP - Argent - 12 Mois + Pochette + Protège Ecran Offerts,Apple,979900.0,10001.0,2.0,256.0,6.0,gris,17.0,12.0,1,Sun May 26 21:19:06 2019,ios
ZTE A110 - 8 Go - 1 Go RAM - 4'' - Noir,ZTE,25000.0,1001.0,8.0,8.0,5.8,noir,2.0,18.0,1,Sun May 26 21:19:07 2019,android
iPhone 8 Plus 256Go HDD - Rouge,Apple,550000.0,101.0,1.0,256.0,6.2,rouge,8.0,12.0,1,Sun May 26 21:19:08 2019,ios
Blade V7 Lite Dual SIM 16Go HDD - 2 Go Ram - Gris  - 12 Mois,ZTE,48800.0,1001.0,3.0,16.0,5.8,gris,2.0,17.0,2,Sun May 26 21:19:10 2019,android
"Galaxy S10 - 128Go HDD - 8Go RAM - 6,1"" - Blanc",Samsung,560000.0,101.0,6.0,128.0,6.2,blanc,5.0,12.0,1,Sun May 26 21:19:12 2019,android
"V5 Dual SIM - 8Go HDD - 1 Go RAM - 5"" - Bleu",X-tigi,23800.0,1001.0,3.0,8.0,5.5,bleu,7.0,12.0,2,Sun May 26 21:19:13 2019,android
iPhone X 64Go HDD - 3Go RAM - 12MP - Gris,Apple,579500.0,49.0,3.0,64.0,5.1,gris,8.0,12.0,1,Sun May 26 21:19:14 2019,ios
Galaxy Note 9 - 128Go HDD - 6Go RAM - Noir - 24 Mois,Samsung,599000.0,10001.0,3.0,128.0,6.0,noir,1.2,8.0,1,Sun May 26 21:19:16 2019,android
Galaxy J6 Plus Dual SIM - 32Go HDD - 3Go RAM - 13+5MP - Rouge - 12 Mois + Pochette Et Protège Ecran Offerts,Samsung,104900.0,10001.0,6.0,32.0,5.6,rouge,5.0,16.0,2,Sun May 26 21:19:18 2019,android
iPhone XR - 128 Go HDD - 3 Go RAM - Rouge,Apple,520000.0,49.0,4.0,128.0,5.8,rouge,5.0,8.0,1,Sun May 26 21:19:20 2019,ios
Galaxy M10 Dual SIM - 32Go HDD - 3Go RAM - 13+5MP - Bleu - 12 Mois de Garantie,Samsung,114000.0,10001.0,3.0,32.0,4.0,bleu,8.0,13.0,2,Sun May 26 21:19:22 2019,android
"Galaxy S9 Plus - 64Go HDD - 6Go RAM - 6,2"" - Noir - 12 Mois",Samsung,396000.0,101.0,6.0,64.0,5.1,noir,8.0,12.0,1,Sun May 26 21:19:23 2019,android
Redmi 6 Pro - Dual SIM - 64Go HDD - 4Go RAM - 12+5MP - Or + Pochette Offert - 12 Mois de Garantie,Xiaomi,114900.0,10001.0,1.0,64.0,6.2,noir et or,1.2,8.0,2,Sun May 26 21:19:24 2019,android
Vente Flash - Galaxy S7 Edge 32Go HDD - 4Go RAM - Or + Pochette,Samsung,159000.0,49.0,3.0,64.0,5.8,or,5.0,12.0,1,Sun May 26 21:19:26 2019,android
iPhone X 64Go HDD - 3Go RAM - 12MP - Argent - 12 Mois + Pochette + Protège Ecran Offerts,Apple,494900.0,10001.0,1.0,256.0,5.1,argent,8.0,13.0,1,Sun May 26 21:19:27 2019,ios
Galaxy S9 Plus SM-G965 - 256Go HDD - Noir - 12 mois,Samsung,415000.0,49.0,3.0,64.0,6.2,noir,7.0,12.0,1,Sun May 26 21:19:28 2019,android
iPhone 6 Plus - 64Go HDD - Or - 12 Mois + Pochette + Protège Ecran Offerts,Apple,174900.0,101.0,4.0,32.0,4.0,or,5.0,16.0,1,Sun May 26 21:19:30 2019,ios
Galaxy S6 - 32Go HDD - RAM 3Go - Blanc - 12 Mois,Samsung,135000.0,10001.0,1.0,16.0,2.0,blanc,8.0,13.0,1,Sun May 26 21:19:31 2019,android
Galaxy J4 Core Dual SIM 16Go HDD - 1Go RAM - Noir,Samsung,72500.0,101.0,4.0,32.0,5.5,noir,0.3,2.0,2,Sun May 26 21:19:33 2019,android
